distX;distY;myGunHeading;velocityX;velocityY;hit
98.46;-144.66;305.00;0.00;0.00;0
102.79;-142.16;300.00;0.00;0.00;0
155.72;-142.16;245.00;0.00;0.00;0
94.37;-147.53;310.00;0.00;0.00;0
151.19;-140.05;250.00;0.00;0.00;0
107.33;-140.05;295.00;0.00;0.00;0
146.49;-138.34;255.00;0.00;0.00;0
141.66;-137.04;260.00;0.00;0.00;0
112.02;-138.34;290.00;0.00;0.00;0
136.74;-136.18;265.00;0.00;0.00;0
131.76;-135.74;270.00;0.00;0.00;0
126.76;-135.74;275.00;0.00;0.00;0
116.85;-137.04;285.00;0.00;0.00;0
121.78;-136.18;280.00;0.00;0.00;0
7.39;-422.34;155.00;0.00;5.50;0
5.99;-419.47;160.00;0.00;0.00;0
9.82;-416.26;165.00;0.00;0.00;0
7.86;-412.72;170.00;0.00;0.00;0
8.44;-404.80;180.00;0.00;0.00;1
5.57;-408.89;175.00;0.00;0.00;0
10.94;-400.47;185.00;0.00;0.00;0
7.55;-395.93;190.00;0.00;0.00;0
9.26;-391.24;195.00;0.00;0.00;0
10.56;-386.41;200.00;0.00;0.00;0
11.42;-381.48;205.00;0.00;0.00;0
-160.00;-160.00;0.00;0.00;0.00;1
-0.44;164.98;5.00;0.00;0.00;1
0.43;154.59;10.00;0.00;0.00;0
3.88;140.01;15.00;0.43;-5.41;0
2.17;144.71;20.00;2.59;-9.66;0
4.27;134.71;25.00;-3.00;9.53;0
11.38;121.52;30.00;0.39;-5.30;0
18.88;108.53;35.00;5.00;-8.66;0
-228.21;-37.39;40.00;0.00;0.00;0
-225.00;-41.22;45.00;0.00;0.00;0
-221.46;-44.76;50.00;0.00;0.00;0
-217.63;-47.97;55.00;0.00;0.00;0
-213.54;-50.84;60.00;0.00;0.00;0
-209.21;-53.34;65.00;0.00;0.00;0
-204.67;-55.45;70.00;0.00;0.00;0
-199.98;-57.16;75.00;0.00;0.00;0
-195.15;-58.46;80.00;0.00;0.00;0
-190.22;-59.32;85.00;0.00;0.00;0
-187.18;-69.57;90.00;0.00;0.00;0
-184.11;-79.38;95.00;-1.94;-9.81;0
-181.07;-88.76;100.00;-1.94;-9.81;0
-178.08;-97.70;105.00;-1.94;-9.81;0
-175.19;-106.22;110.00;-1.94;-9.81;0
-172.42;-114.32;115.00;-1.94;-9.81;0
-169.83;-122.01;120.00;-1.94;-9.81;0
-166.47;-124.42;125.00;-1.94;-9.81;0
-164.31;-131.36;130.00;-0.97;-4.91;0
-162.41;-137.96;135.00;-1.94;-9.81;1
-160.81;-144.23;140.00;-1.94;-9.81;1
-157.86;-166.69;160.00;-1.94;-9.81;1
-152.59;-171.80;165.00;-1.94;-9.81;1
-159.53;-150.21;145.00;-1.94;-9.81;0
-152.08;-171.91;170.00;3.56;-9.81;1
-158.60;-155.93;150.00;-1.94;-9.81;0
-158.04;-161.41;155.00;-1.94;-9.81;0
-152.01;-171.92;175.00;-0.79;-4.94;0
-152.40;-176.91;180.00;-0.79;-4.94;0
-152.40;-171.91;185.00;-0.82;-9.97;0
-152.01;-176.89;190.00;0.00;0.00;0
-152.88;-171.97;195.00;0.82;-9.97;0
-48.08;-145.27;200.00;0.00;0.00;0
-49.79;-140.57;205.00;0.00;0.00;0
-51.90;-136.04;210.00;0.00;0.00;0
-54.40;-131.71;215.00;0.00;0.00;0
-57.27;-127.61;220.00;0.00;0.00;0
-60.48;-123.78;225.00;0.00;0.00;0
-64.02;-120.24;230.00;0.00;0.00;0
-67.85;-117.03;235.00;0.00;0.00;0
-71.95;-114.16;240.00;0.00;0.00;0
-76.28;-111.66;245.00;0.00;0.00;0
49.35;151.70;250.00;5.00;-8.66;0
44.65;153.41;255.00;0.00;0.00;0
39.82;154.70;260.00;0.00;0.00;0
34.90;155.57;265.00;0.00;0.00;0
29.92;156.01;270.00;0.00;0.00;0
24.92;156.01;275.00;0.00;0.00;0
19.94;155.57;280.00;0.00;0.00;0
15.01;154.70;285.00;0.00;0.00;0
10.18;153.41;290.00;0.00;0.00;0
-7.47;144.22;310.00;0.00;0.00;0
5.48;151.70;295.00;0.00;0.00;0
-14.84;137.47;320.00;0.00;0.00;0
-11.30;141.00;315.00;0.00;0.00;0
-3.38;147.08;305.00;0.00;0.00;0
-18.05;133.64;325.00;0.00;0.00;0
0.95;149.58;300.00;0.00;0.00;0
-20.92;129.54;330.00;0.00;0.00;0
-23.42;125.21;335.00;0.00;0.00;0
-25.53;120.68;340.00;0.00;0.00;0
-27.24;115.98;345.00;0.00;0.00;0
-28.54;111.15;350.00;0.00;0.00;0
-29.41;91.27;10.00;0.00;0.00;1
-29.41;106.23;355.00;0.00;0.00;0
-29.84;101.25;0.00;0.00;0.00;0
-28.54;86.34;15.00;0.00;0.00;1
-29.84;96.25;5.00;0.00;0.00;0
-28.54;86.34;20.00;0.00;0.00;1
-30.65;90.87;25.00;-1.29;4.83;1
-33.91;94.77;30.00;-3.82;9.23;1
